City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Atuona,PF,-9.8,-139.0333,77.41,72,33,16.33,light rain
1,Kapaa,US,22.0752,-159.319,81.12,70,0,13.8,clear sky
2,Kaitangata,NZ,-46.2817,169.8464,36.16,91,22,4.5,few clouds
3,Port Hawkesbury,CA,45.6169,-61.3485,76.89,70,3,8.99,clear sky
4,Qaanaaq,GL,77.484,-69.3632,30.99,86,100,5.26,overcast clouds
5,Busselton,AU,-33.65,115.3333,63.64,88,96,18.7,light rain
6,Ukiah,US,39.1502,-123.2078,94.44,38,0,8.05,clear sky
7,Komsomolskiy,UZ,40.4272,71.7189,75.49,39,14,2.66,few clouds
8,Tautira,PF,-17.7333,-149.15,78.89,75,29,10.71,light rain
9,Arti,RU,56.4234,58.5328,53.28,92,100,4.27,light rain
10,Praia,CV,14.9215,-23.5087,77.54,73,20,13.8,few clouds
11,Mataura,NZ,-46.1927,168.8643,39.47,99,100,4.7,moderate rain
12,Barrow,US,71.2906,-156.7887,32.02,93,100,10.36,mist
13,Butaritari,KI,3.0707,172.7902,82.33,73,96,14.05,light rain
14,Mahebourg,MU,-20.4081,57.7,69.26,79,58,14.43,light rain
15,Jiaojiang,CN,28.6803,121.4428,68.0,93,100,5.75,overcast clouds
16,Belyy Yar,RU,53.6039,91.3903,53.85,57,0,6.71,clear sky
17,Cape Town,ZA,-33.9258,18.4232,65.37,43,91,4.99,overcast clouds
18,Hermanus,ZA,-34.4187,19.2345,64.45,40,26,10.87,scattered clouds
19,Hobart,AU,-42.8794,147.3294,45.27,92,100,12.66,moderate rain
20,Inuvik,CA,68.3499,-133.7218,52.3,42,100,12.62,overcast clouds
21,Zhigansk,RU,66.7697,123.3711,51.39,86,100,9.62,overcast clouds
22,Richards Bay,ZA,-28.783,32.0377,63.14,86,6,5.08,clear sky
23,Port Elizabeth,ZA,-33.918,25.5701,61.88,57,0,7.4,clear sky
24,Bluff,NZ,-46.6,168.3333,39.79,79,100,9.46,light rain
25,Namatanai,PG,-3.6667,152.4333,77.0,78,2,7.2,clear sky
26,Ust-Nera,RU,64.5667,143.2,47.43,39,1,1.68,clear sky
27,Albany,US,42.6001,-73.9662,74.57,45,6,1.99,clear sky
28,Dikson,RU,73.5069,80.5464,33.15,86,91,6.62,overcast clouds
29,Grindavik,IS,63.8424,-22.4338,57.67,62,75,18.41,broken clouds
30,Cayenne,GF,4.9333,-52.3333,78.1,1,100,2.3,moderate rain
31,San Lawrenz,MT,36.0553,14.204,70.86,82,0,5.99,clear sky
32,Beyneu,KZ,45.3167,55.2,74.35,33,13,13.18,few clouds
33,Bredasdorp,ZA,-34.5322,20.0403,58.51,49,88,4.54,overcast clouds
34,Puerto Escondido,MX,15.85,-97.0667,85.03,65,75,17.27,broken clouds
35,Aviles,ES,43.5547,-5.9248,66.76,85,75,2.3,broken clouds
36,Vaini,TO,-21.2,-175.2,75.36,83,75,4.61,broken clouds
37,Arawa,PG,-6.2132,155.5367,75.47,88,9,2.44,clear sky
38,Hameenlinna,FI,60.996,24.4643,57.02,92,100,3.09,overcast clouds
39,Upernavik,GL,72.7868,-56.1549,31.87,78,14,10.69,few clouds
40,Punta Arenas,CL,-53.15,-70.9167,46.51,76,20,18.41,few clouds
41,Sorland,NO,67.667,12.6934,46.26,76,0,16.46,clear sky
42,Port Alfred,ZA,-33.5906,26.891,62.89,72,0,11.16,clear sky
43,Bandarbeyla,SO,9.4942,50.8122,79.88,74,56,22.68,broken clouds
44,Saskylakh,RU,71.9167,114.0833,40.55,75,0,16.02,clear sky
45,Lorengau,PG,-2.0226,147.2712,79.83,72,24,5.53,few clouds
46,Narrabri,AU,-30.3167,149.7833,44.53,89,97,4.7,overcast clouds
47,Havelock,US,34.8791,-76.9013,84.18,58,99,5.01,overcast clouds
48,Cabo San Lucas,MX,22.8909,-109.9124,92.5,45,0,9.22,clear sky
